"vote_choice","respondent_id","approve_EU","NHS_improved","income","female","age","wt_combined_main","party_id","taxspend","vote"
1,360,4,3,14,0,42,3.6346640586853,3,3,FALSE
2,367,5,4,14,0,25,3.15354895591736,3,1,FALSE
1,368,3,3,5,1,70,0.547129988670349,3,2,FALSE
1,369,4,2,14,1,50,1.12431502342224,3,1,FALSE
1,375,2,2,7,1,79,0.710718989372253,3,0,FALSE
1,379,4,2,7,0,66,0.463261991739273,3,1,FALSE
4,380,2,3,5,0,72,0.926523983478546,3,4,FALSE
1,381,2,4,4,0,64,0.463261991739273,3,4,FALSE
3,382,4,2,10,0,76,1.0654970407486,3,1,TRUE
1,384,3,3,6,1,89,0.686504006385803,3,0,FALSE
4,385,1,1,3,1,50,0.460635989904404,3,3,FALSE
3,387,4,2,14,0,48,1.09824001789093,3,2,TRUE
1,391,3,3,10,0,61,1.78991198539734,3,2,FALSE
2,392,3,2,8,1,49,0.921272993087769,3,2,FALSE
1,395,4,3,6,0,73,0.447477996349335,3,1,FALSE
2,396,5,3,7,0,54,0.628691017627716,3,3,FALSE
1,407,5,3,6,0,32,0.616548001766205,3,4,FALSE
2,408,2,4,7,0,63,1.38978505134583,3,3,FALSE
